data;obitos
2020-02-25;0
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0
2020-03-06;0
2020-03-07;0
2020-03-08;0
2020-03-09;0
2020-03-10;0
2020-03-11;0
2020-03-12;0
2020-03-13;0
2020-03-14;0
2020-03-15;0
2020-03-16;0
2020-03-17;1
2020-03-18;3
2020-03-19;2
2020-03-20;5
2020-03-21;7
2020-03-22;7
2020-03-23;9
2020-03-24;12
2020-03-25;11
2020-03-26;20
2020-03-27;15
2020-03-28;22
2020-03-29;22
2020-03-30;23
2020-03-31;42
2020-04-01;40
2020-04-02;58
2020-04-03;60
2020-04-04;73
2020-04-05;54
2020-04-06;67
2020-04-07;114
2020-04-08;133
2020-04-09;141
2020-04-10;115
2020-04-11;68
2020-04-12;99
2020-04-13;105
2020-04-14;204
2020-04-15;204
2020-04-16;188
2020-04-17;217
2020-04-18;206
2020-04-19;115
2020-04-20;113
2020-04-21;166
2020-04-22;165
2020-04-23;407
2020-04-24;357
2020-04-25;346
2020-04-26;189
2020-04-27;338
2020-04-28;474
2020-04-29;449
2020-04-30;435
2020-05-01;428
2020-05-02;395
2020-05-03;301
2020-05-04;296
2020-05-05;600
2020-05-06;614
2020-05-07;611
2020-05-08;749
2020-05-09;732
2020-05-10;496
2020-05-11;396
2020-05-12;881
2020-05-13;749
2020-05-14;844
2020-05-15;824
2020-05-16;816
2020-05-17;485
2020-05-18;674
2020-05-19;1179
2020-05-20;888
2020-05-21;1188
2020-05-22;999
2020-05-23;967
2020-05-24;653
2020-05-25;807
2020-05-26;1039
2020-05-27;1086
2020-05-28;1156
2020-05-29;1124
2020-05-30;956
2020-05-31;480
2020-06-01;623
2020-06-02;1262
2020-06-03;1349
2020-06-04;1473
2020-06-05;1005
2020-06-06;904
2020-06-07;525
2020-06-08;679
2020-06-09;1272
2020-06-10;1274
2020-06-11;1239
2020-06-12;909
2020-06-13;892
2020-06-14;612
2020-06-15;627
2020-06-16;1282
2020-06-17;1269
2020-06-18;1238
2020-06-19;1206
2020-06-20;1022
2020-06-21;641
2020-06-22;654
2020-06-23;1374
2020-06-24;1185
2020-06-25;1141
2020-06-26;990
2020-06-27;1109
2020-06-28;552
2020-06-29;692
2020-06-30;1280
2020-07-01;1038
2020-07-02;1252
2020-07-03;1290
2020-07-04;1091
2020-07-05;602
2020-07-06;620
2020-07-07;1254
2020-07-08;1223
2020-07-09;1220
2020-07-10;1214
2020-07-11;1071
2020-07-12;631
2020-07-13;733
2020-07-14;1300
2020-07-15;1233
2020-07-16;1322
2020-07-17;1163
2020-07-18;921
2020-07-19;716
2020-07-20;632
2020-07-21;1367
2020-07-22;1284
2020-07-23;1311
2020-07-24;1156
2020-07-25;1211
2020-07-26;555
2020-07-27;614
2020-07-28;921
2020-07-29;1595
2020-07-30;1129
2020-07-31;1212
2020-08-01;1088
2020-08-02;541
2020-08-03;561
2020-08-04;1154
2020-08-05;1421
2020-08-06;1253
2020-08-07;1079
2020-08-08;905
2020-08-09;572
2020-08-10;703
2020-08-11;1274
2020-08-12;1175
2020-08-13;1262
2020-08-14;1060
2020-08-15;709
2020-08-16;620
2020-08-17;684
2020-08-18;1352
2020-08-19;1212
2020-08-20;1204
2020-08-21;1054
2020-08-22;892
2020-08-23;494
2020-08-24;565
2020-08-25;1271
2020-08-26;1085
2020-08-27;984
2020-08-28;855
2020-08-29;958
2020-08-30;366
2020-08-31;553
2020-09-01;1215
2020-09-02;1184
2020-09-03;834
2020-09-04;907
2020-09-05;682
2020-09-06;447
2020-09-07;310
2020-09-08;504
2020-09-09;1075
2020-09-10;983
2020-09-11;874
2020-09-12;814
2020-09-13;415
2020-09-14;381
2020-09-15;1113
2020-09-16;987
2020-09-17;829
2020-09-18;858
2020-09-19;739
2020-09-20;363
2020-09-21;377
2020-09-22;836
2020-09-23;869
2020-09-24;831
2020-09-25;729
2020-09-26;869
2020-09-27;335
2020-09-28;317
2020-09-29;863
2020-09-30;1031
2020-10-01;728
2020-10-02;708
2020-10-03;599
2020-10-04;365
2020-10-05;323
2020-10-06;819
2020-10-07;734
2020-10-08;729
2020-10-09;682
2020-10-10;559
2020-10-11;290
2020-10-12;201
2020-10-13;309
2020-10-14;749
2020-10-15;713
2020-10-16;754
2020-10-17;461
2020-10-18;230
2020-10-19;271
2020-10-20;661
2020-10-21;566
2020-10-22;497
2020-10-23;571
2020-10-24;432
2020-10-25;231
2020-10-26;263
2020-10-27;549
2020-10-28;510
2020-10-29;513
2020-10-30;508
2020-10-31;407
2020-11-01;190
2020-11-02;179
2020-11-03;243
2020-11-04;610
2020-11-05;630
2020-11-06;302
2020-11-07;231
2020-11-08;128
2020-11-09;231
2020-11-10;201
2020-11-11;544
2020-11-12;908
2020-11-13;456
2020-11-14;921
2020-11-15;140
2020-11-16;216
2020-11-17;685
2020-11-18;756
2020-11-19;606
2020-11-20;552
2020-11-21;376
2020-11-22;194
2020-11-23;302
2020-11-24;630
2020-11-25;654
2020-11-26;691
2020-11-27;514
2020-11-28;587
2020-11-29;272
2020-11-30;287
2020-12-01;697
2020-12-02;698
2020-12-03;755
2020-12-04;694
2020-12-05;664
2020-12-06;313
2020-12-07;376
2020-12-08;842
2020-12-09;836
2020-12-10;770
2020-12-11;672
2020-12-12;686
2020-12-13;279
2020-12-14;433
2020-12-15;964
2020-12-16;936
2020-12-17;1092
2020-12-18;823
2020-12-19;706
2020-12-20;408
2020-12-21;527
2020-12-22;968
2020-12-23;961
2020-12-24;786
2020-12-25;482
2020-12-26;307
2020-12-27;344
2020-12-28;431
2020-12-29;1111
2020-12-30;1194
2020-12-31;1074
2021-01-01;462
2021-01-02;314
2021-01-03;293
2021-01-04;543
2021-01-05;1171
2021-01-06;1242
2021-01-07;1524
2021-01-08;962
2021-01-09;1171
2021-01-10;469
2021-01-11;480
2021-01-12;1110
2021-01-13;1274
2021-01-14;1131
2021-01-15;1151
2021-01-16;1050
2021-01-17;551
2021-01-18;452
2021-01-19;1192
2021-01-20;1340
2021-01-21;1316
2021-01-22;1096
2021-01-23;1202
2021-01-24;592
2021-01-25;627
2021-01-26;1214
2021-01-27;1283
2021-01-28;1386
2021-01-29;1119
2021-01-30;1279
2021-01-31;559
2021-02-01;595
2021-02-02;1210
2021-02-03;1254
2021-02-04;1232
2021-02-05;1239
2021-02-06;978
2021-02-07;522
2021-02-08;636
2021-02-09;1350
2021-02-10;1330
2021-02-11;1351
2021-02-12;1288
2021-02-13;1043
2021-02-14;713
2021-02-15;528
2021-02-16;1167
2021-02-17;1150
2021-02-18;1367
2021-02-19;1308
2021-02-20;1212
2021-02-21;527
2021-02-22;639
2021-02-23;1386
2021-02-24;1428
2021-02-25;1541
2021-02-26;1337
2021-02-27;1386
2021-02-28;721
2021-03-01;778
2021-03-02;1641
2021-03-03;1910
2021-03-04;1699
2021-03-05;1800
2021-03-06;1555
2021-03-07;1086
2021-03-08;987
2021-03-09;1972
2021-03-10;2286
2021-03-11;2233
2021-03-12;2216
2021-03-13;1997
2021-03-14;1127
2021-03-15;1057
2021-03-16;2841
2021-03-17;2648
2021-03-18;2724
2021-03-19;2815
2021-03-20;2438
2021-03-21;1290
2021-03-22;1383
2021-03-23;3251
2021-03-24;2009
2021-03-25;2777
2021-03-26;3650
2021-03-27;3438
2021-03-28;1656
2021-03-29;1660
2021-03-30;3780
2021-03-31;3869
2021-04-01;3769
2021-04-02;2922
2021-04-03;1987
2021-04-04;1240
2021-04-05;1319
2021-04-06;4195
2021-04-07;3829
2021-04-08;4249
2021-04-09;3693
2021-04-10;2616
2021-04-11;1803
2021-04-12;1480
2021-04-13;3808
2021-04-14;3459
2021-04-15;3560
2021-04-16;3305
2021-04-17;2929
2021-04-18;1657
2021-04-19;1347
2021-04-20;3321
2021-04-21;3472
2021-04-22;2027
2021-04-23;2914
2021-04-24;3076
2021-04-25;1305
2021-04-26;1139
2021-04-27;3086
2021-04-28;3163
2021-04-29;3001
2021-04-30;2595
2021-05-01;2656
2021-05-02;1202
2021-05-03;983
2021-05-04;2966
2021-05-05;2811
2021-05-06;2550
2021-05-07;2165
2021-05-08;2202
2021-05-09;1024
2021-05-10;889
2021-05-11;2311
2021-05-12;2494
2021-05-13;2383
2021-05-14;2211
2021-05-15;2087
2021-05-16;1036
2021-05-17;786
2021-05-18;2513
2021-05-19;2641
2021-05-20;2403
2021-05-21;2215
2021-05-22;1899
2021-05-23;860
2021-05-24;790
2021-05-25;2173
2021-05-26;2398
2021-05-27;2245
2021-05-28;2371
2021-05-29;2012
2021-05-30;874
2021-05-31;860
2021-06-01;2408
2021-06-02;2507
2021-06-03;1682
2021-06-04;1454
2021-06-05;1689
2021-06-06;873
2021-06-07;1010
2021-06-08;2378
2021-06-09;2723
2021-06-10;2504
2021-06-11;2216
2021-06-12;2037
2021-06-13;1129
2021-06-14;827
2021-06-15;2468
2021-06-16;2997
2021-06-17;2311
2021-06-18;2495
2021-06-19;2301
2021-06-20;1025
2021-06-21;761
2021-06-22;2131
2021-06-23;2392
2021-06-24;2032
2021-06-25;2001
2021-06-26;1593
2021-06-27;739
2021-06-28;618
2021-06-29;1893
2021-06-30;2081
2021-07-01;2029
2021-07-02;1857
2021-07-03;1635
2021-07-04;830
2021-07-05;695
2021-07-06;1780
2021-07-07;1648
2021-07-08;1639
2021-07-09;1509
2021-07-10;1205
2021-07-11;595
2021-07-12;745
2021-07-13;1605
2021-07-14;1556
2021-07-15;1548
2021-07-16;1456
2021-07-17;868
2021-07-18;948
2021-07-19;542
2021-07-20;1424
2021-07-21;1424
2021-07-22;1412
2021-07-23;1324
2021-07-24;1108
2021-07-25;476
2021-07-26;578
2021-07-27;1333
2021-07-28;1344
2021-07-29;1318
2021-07-30;963
2021-07-31;910
2021-08-01;464
2021-08-02;389
2021-08-03;1209
2021-08-04;1175
2021-08-05;1099
2021-08-06;1056
2021-08-07;990
2021-08-08;399
2021-08-09;411
2021-08-10;1211
2021-08-11;975
2021-08-12;1148
2021-08-13;966
2021-08-14;926
2021-08-15;270
2021-08-16;434
2021-08-17;1106
2021-08-18;1064
2021-08-19;979
2021-08-20;870
2021-08-21;698
2021-08-22;318
2021-08-23;321
2021-08-24;894
2021-08-25;903
2021-08-26;920
2021-08-27;761
2021-08-28;684
2021-08-29;298
2021-08-30;266
2021-08-31;839
2021-09-01;737
2021-09-02;764
2021-09-03;756
2021-09-04;692
2021-09-05;266
2021-09-06;182
2021-09-07;361
2021-09-08;250
2021-09-09;753
2021-09-10;672
2021-09-11;712
2021-09-12;293
2021-09-13;215
2021-09-14;731
2021-09-15;800
2021-09-16;643
2021-09-17;333
2021-09-18;935
2021-09-19;244
2021-09-20;203
2021-09-21;485
2021-09-22;876
2021-09-23;648
2021-09-24;699
2021-09-25;537
2021-09-26;243
2021-09-27;210
2021-09-28;793
2021-09-29;676
2021-09-30;627
2021-10-01;506
2021-10-02;468
2021-10-03;225
2021-10-04;204
2021-10-05;677
2021-10-06;530
2021-10-07;451
2021-10-08;615
2021-10-09;404
2021-10-10;182
2021-10-11;202
2021-10-12;185
2021-10-13;176
2021-10-14;525
2021-10-15;570
2021-10-16;483
2021-10-17;130
2021-10-18;183
2021-10-19;390
2021-10-20;373
2021-10-21;451
2021-10-22;460
2021-10-23;318
2021-10-24;187
2021-10-25;160
2021-10-26;442
2021-10-27;433
2021-10-28;389
2021-10-29;394
2021-10-30;232
2021-10-31;130
2021-11-01;98
2021-11-02;149
2021-11-03;164
2021-11-04;436
2021-11-05;389
2021-11-06;328
2021-11-07;59
